Age,Edu,Comm,Duration,Campaign,PosDays,Last_out,Var_rate,Price_idx,Conf_idx,Month_rate,Quarterly_emp,Target
31,high.school,cellular,79,1,999,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
57,basic.4y,telephone,243,2,999,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
38,high.school,cellular,882,1,6,success,-1.8,93.749,-34.6,0.659,5008.7,1
39,high.school,telephone,5,2,999,nonexistent,1.1,93.994,-36.4,4.858,5191,0
37,high.school,telephone,354,5,999,nonexistent,1.1,93.994,-36.4,4.858,5191,0
50,professional.course,cellular,225,1,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
33,basic.4y,cellular,460,1,999,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
41,basic.6y,telephone,202,1,999,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
37,basic.6y,telephone,71,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
25,high.school,cellular,54,1,999,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
35,high.school,cellular,451,1,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
46,university.degree,cellular,662,2,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
29,university.degree,telephone,187,3,999,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
35,university.degree,cellular,82,4,999,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
48,professional.course,cellular,606,3,999,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
31,university.degree,cellular,76,1,999,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,0
33,basic.9y,telephone,18,6,999,failure,-1.8,92.893,-46.2,1.266,5099.1,0
63,university.degree,cellular,317,1,999,failure,-2.9,92.469,-33.6,1.072,5076.2,0
38,high.school,cellular,67,2,999,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
34,high.school,cellular,492,2,6,success,-3.4,92.649,-30.1,0.716,5017.5,0
34,high.school,telephone,212,4,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
47,university.degree,telephone,267,2,3,success,-1.8,93.876,-40,0.682,5008.7,0
27,basic.9y,telephone,185,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,university.degree,cellular,744,1,999,failure,-1.7,94.027,-38.3,0.905,4991.6,1
36,basic.9y,cellular,499,3,999,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
29,high.school,telephone,123,2,999,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
58,basic.9y,telephone,198,1,999,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
40,professional.course,cellular,156,1,999,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
31,university.degree,cellular,98,8,999,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
60,basic.4y,cellular,332,3,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
58,basic.4y,telephone,35,1,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
32,basic.9y,cellular,124,2,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
54,university.degree,telephone,213,4,999,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
43,professional.course,cellular,145,2,999,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
48,basic.4y,telephone,145,8,999,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
33,university.degree,cellular,195,1,999,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
37,basic.9y,telephone,179,2,999,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
35,professional.course,telephone,184,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,high.school,telephone,285,1,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
30,university.degree,cellular,31,17,999,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
38,basic.9y,telephone,306,1,999,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
29,professional.course,cellular,14,5,999,failure,-1.8,92.893,-46.2,1.313,5099.1,0
49,university.degree,cellular,334,1,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
48,university.degree,cellular,117,1,999,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,0
33,high.school,cellular,155,2,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
33,university.degree,telephone,117,1,999,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
42,university.degree,telephone,206,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
39,university.degree,telephone,102,1,999,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,university.degree,cellular,157,2,999,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
46,university.degree,telephone,311,3,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
55,basic.4y,telephone,115,3,999,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
42,university.degree,cellular,58,1,999,failure,-0.1,93.2,-42,4.021,5195.8,0
24,high.school,cellular,290,1,999,failure,-1.8,92.893,-46.2,1.281,5099.1,0
49,basic.9y,cellular,114,1,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
38,unknown,cellular,311,3,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,university.degree,cellular,146,1,999,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
46,basic.4y,cellular,111,1,999,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
45,professional.course,cellular,360,5,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
40,basic.9y,cellular,106,4,999,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
46,basic.9y,telephone,423,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
31,basic.9y,telephone,350,7,999,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
57,basic.9y,telephone,122,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,university.degree,cellular,91,3,999,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
50,professional.course,cellular,319,2,999,failure,-0.1,93.2,-42,4.153,5195.8,0
32,high.school,cellular,120,1,999,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
38,university.degree,cellular,82,2,999,nonexistent,-2.9,92.469,-33.6,0.914,5076.2,0
50,university.degree,cellular,801,1,999,failure,-1.8,93.876,-40,0.682,5008.7,0
42,basic.4y,telephone,168,2,999,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
31,professional.course,cellular,409,2,999,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
27,university.degree,cellular,120,1,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,high.school,telephone,123,1,999,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
26,high.school,telephone,127,1,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
30,high.school,cellular,340,1,999,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,high.school,cellular,169,1,999,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
64,unknown,cellular,252,4,999,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,1
36,university.degree,cellular,331,1,6,failure,-1.1,94.199,-37.5,0.876,4963.6,1
42,basic.4y,telephone,191,4,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,high.school,cellular,122,2,999,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
40,high.school,cellular,1776,3,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,high.school,cellular,362,2,999,failure,-1.8,92.893,-46.2,1.334,5099.1,0
31,basic.6y,telephone,237,2,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
49,university.degree,telephone,201,3,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
35,basic.9y,cellular,169,7,999,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
60,unknown,telephone,213,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,basic.9y,cellular,271,1,999,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
32,professional.course,cellular,125,1,999,failure,-1.8,92.893,-46.2,1.266,5099.1,0
50,basic.9y,cellular,673,6,3,success,-1.8,92.893,-46.2,1.354,5099.1,1
41,university.degree,cellular,961,6,999,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1
45,high.school,telephone,215,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
46,basic.6y,telephone,179,2,999,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,basic.4y,telephone,336,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,professional.course,telephone,44,1,999,nonexistent,1.1,93.994,-36.4,4.855,5191,0
45,unknown,telephone,223,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,high.school,cellular,66,1,999,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
42,high.school,cellular,252,2,999,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
39,university.degree,telephone,167,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
58,unknown,cellular,180,4,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
32,university.degree,cellular,123,4,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,professional.course,cellular,18,3,999,failure,-1.8,93.075,-47.1,1.41,5099.1,0
49,professional.course,telephone,374,2,999,nonexistent,1.1,93.994,-36.4,4.859,5191,0
29,basic.6y,cellular,108,4,999,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
51,university.degree,telephone,16,17,999,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
36,university.degree,cellular,45,8,999,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
23,university.degree,cellular,122,1,999,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
31,university.degree,cellular,72,1,999,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
32,unknown,cellular,107,2,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
58,professional.course,telephone,197,1,999,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,high.school,cellular,21,20,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
32,professional.course,cellular,160,2,999,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
43,high.school,cellular,319,4,3,success,-2.9,92.201,-31.4,0.873,5076.2,0
48,professional.course,telephone,427,3,999,nonexistent,1.1,93.994,-36.4,4.859,5191,0
28,high.school,cellular,270,2,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
52,professional.course,telephone,7,2,999,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
36,university.degree,telephone,22,1,999,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
39,high.school,cellular,433,2,999,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
39,unknown,telephone,49,5,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
50,university.degree,telephone,258,1,999,failure,-3.4,92.431,-26.9,0.754,5017.5,0
29,university.degree,cellular,190,1,999,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
49,professional.course,cellular,130,3,999,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
36,basic.6y,cellular,130,1,999,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
29,basic.9y,cellular,182,6,999,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
27,university.degree,telephone,259,3,999,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,basic.9y,cellular,124,1,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
43,high.school,cellular,40,1,999,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
32,unknown,cellular,366,4,999,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
45,high.school,cellular,399,2,999,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
56,basic.4y,telephone,133,2,999,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
38,high.school,telephone,23,16,999,nonexistent,1.1,93.994,-36.4,4.858,5191,0
35,basic.9y,telephone,170,1,999,nonexistent,1.1,93.994,-36.4,4.855,5191,0
30,university.degree,cellular,83,1,999,failure,-2.9,92.201,-31.4,0.881,5076.2,0
46,university.degree,cellular,79,1,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
43,basic.9y,cellular,93,4,999,failure,-1.8,92.893,-46.2,1.327,5099.1,0
38,university.degree,telephone,257,2,999,nonexistent,1.1,93.994,-36.4,4.855,5191,0
52,university.degree,telephone,188,2,999,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
30,university.degree,cellular,131,2,16,success,-1.1,94.601,-49.5,0.942,4963.6,0
31,high.school,cellular,111,2,999,failure,-0.1,93.2,-42,4.153,5195.8,0
31,basic.4y,cellular,73,1,999,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
24,professional.course,cellular,175,1,999,failure,-1.8,92.893,-46.2,1.266,5099.1,0
34,university.degree,cellular,439,2,999,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
48,unknown,cellular,262,1,999,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
30,university.degree,cellular,136,1,999,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
23,high.school,cellular,150,4,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
20,high.school,telephone,598,3,999,nonexistent,1.1,93.994,-36.4,4.855,5191,0
43,high.school,cellular,96,3,999,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
26,high.school,cellular,298,2,999,failure,-1.8,92.893,-46.2,1.299,5099.1,0
58,basic.4y,telephone,170,6,999,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
26,university.degree,cellular,104,5,999,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
35,high.school,telephone,213,14,999,nonexistent,1.1,93.994,-36.4,4.859,5191,0
35,high.school,cellular,356,3,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
59,professional.course,cellular,206,1,999,failure,-2.9,92.201,-31.4,0.883,5076.2,1
54,basic.4y,telephone,102,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,basic.9y,cellular,346,2,999,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
46,professional.course,telephone,53,2,999,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
52,high.school,cellular,81,6,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
52,university.degree,cellular,67,1,999,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
32,university.degree,cellular,209,1,999,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
33,basic.4y,telephone,202,4,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,high.school,cellular,247,1,999,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
42,unknown,telephone,230,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,unknown,telephone,451,2,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
43,high.school,telephone,190,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
49,university.degree,telephone,24,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
30,basic.9y,telephone,107,3,999,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
37,professional.course,cellular,54,2,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
47,professional.course,cellular,86,2,999,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
32,basic.4y,telephone,111,8,999,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,0
32,university.degree,cellular,47,2,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
35,university.degree,cellular,215,1,999,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
36,university.degree,cellular,423,1,999,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
41,basic.9y,cellular,233,2,999,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
48,basic.9y,telephone,67,2,999,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
43,high.school,cellular,1389,7,999,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
57,university.degree,telephone,50,2,999,nonexistent,1.1,93.994,-36.4,4.864,5191,0
28,university.degree,cellular,774,2,999,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30,high.school,telephone,454,18,999,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
27,high.school,cellular,64,2,999,failure,-1.8,92.893,-46.2,1.354,5099.1,0
44,basic.6y,telephone,212,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,0
43,basic.9y,telephone,110,17,999,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
28,basic.9y,cellular,23,1,999,failure,-1.8,92.893,-46.2,1.281,5099.1,0
34,basic.9y,cellular,169,1,999,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
32,high.school,telephone,251,2,999,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
30,university.degree,cellular,353,10,999,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
45,university.degree,cellular,508,1,999,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
49,basic.4y,telephone,410,1,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
45,high.school,telephone,89,5,999,nonexistent,1.1,93.994,-36.4,4.855,5191,0
56,basic.9y,telephone,52,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
48,university.degree,cellular,118,1,0,success,-1.7,94.027,-38.3,0.9,4991.6,1
42,high.school,cellular,154,2,999,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
51,university.degree,telephone,409,2,999,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
54,basic.9y,cellular,258,2,999,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
40,university.degree,cellular,335,2,999,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
47,basic.9y,telephone,54,1,999,nonexistent,1.1,93.994,-36.4,4.86,5191,0
29,university.degree,cellular,896,6,999,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
37,university.degree,cellular,412,2,999,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,1
35,basic.9y,telephone,24,1,999,nonexistent,1.1,93.994,-36.4,4.858,5191,0
54,professional.course,cellular,149,2,999,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
45,university.degree,cellular,254,1,999,failure,-1.8,93.876,-40,0.692,5008.7,0
35,university.degree,cellular,564,2,999,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
37,professional.course,cellular,185,1,999,failure,-1.8,92.893,-46.2,1.244,5099.1,0
38,basic.9y,telephone,1000,1,999,nonexistent,1.1,93.994,-36.4,4.856,5191,1
33,basic.9y,telephone,88,2,999,nonexistent,1.1,93.994,-36.4,4.857,5191,0
31,basic.9y,telephone,166,2,999,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
34,university.degree,telephone,134,1,999,nonexistent,1.1,93.994,-36.4,4.855,5191,0
51,high.school,cellular,131,2,999,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
